task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,2.8162996768951416,0.25166621804237366,50.0,50,False,0,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.9,0.05000000000000001,0.9500000000000001,0.10000000000000002
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,3.091444253921509,0.15192392033835253,50.0,150,False,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.03333333333333333,0.9666666666666667,0.06666666666666667
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,0.503371000289917,0.21814346313476562,50.0,50,False,0,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.03333333333333333,0.9666666666666667,0.06666666666666667
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,1.369396448135376,0.13798747708400091,50.0,150,False,0,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.03333333333333333,0.9666666666666667,0.06666666666666667
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,0.3962109088897705,0.14825743436813354,50.0,50,False,0,0.8,0.8000000000000002,0.8055555555555555,0.8000000000000002,0.7979797979797979,0.8000000000000002,0.10000000000000002,0.9,0.20000000000000004
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,1.2954378128051758,0.08862512061993282,50.0,150,False,0,0.8333333333333334,0.8333333333333334,0.8350168350168351,0.8333333333333334,0.8329156223893066,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.16666666666666666
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,0.3942530155181885,0.3556578755378723,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,1.3058953285217285,0.22173822422822317,50.0,150,False,0,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9666666666666667,0.016666666666666666,0.9833333333333334,0.03333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,0.3973429203033447,0.22041720151901245,50.0,50,False,0,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.016666666666666666,0.9833333333333334,0.03333333333333333
classification,iris,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,1.303959846496582,0.12679052725434303,50.0,150,False,0,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.016666666666666666,0.9833333333333334,0.03333333333333333
